2023-05-10 14:23:08,170 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-uwp-profile-salesforce-sapi'
2023-05-10 14:23:08,386 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:c2c-uwp-profile-udm-sapi'
2023-05-10 14:23:08,653 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:cdp-cust-accounts-sapi'
2023-05-10 14:23:08,877 | sonar-tools | INFO    | MainThread      | Getting measures for project 'CDP_Data_Pipeline'
2023-05-10 14:23:09,109 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:ce-cust-accounts-eapi'
2023-05-10 14:23:09,309 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:ce-cust-snowflake-sapi'
2023-05-10 14:23:09,509 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:nucleus-cni-springboot-eapi'
2023-05-10 14:23:09,772 | sonar-tools | INFO    | MainThread      | Getting measures for project 'com.mycompany:common-http-test'
2023-05-10 14:23:10,047 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:common-http-test-rtf'
2023-05-10 14:23:10,228 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:communication-papi'
2023-05-10 14:23:10,425 | sonar-tools | INFO    | MainThread      | Getting measures for project '6641b892-f738-4320-989d-030083fda5ba:compliance-servicenow-eapi'
2023-05-10 14:23:10,713 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:connectivity-api'
2023-05-10 14:23:10,935 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:contact-eapi'
2023-05-10 14:23:11,150 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:copperleaf-financials-sapi'
2023-05-10 14:23:11,354 | sonar-tools | INFO    | MainThread      | Getting measures for project 'CSE'
2023-05-10 14:23:11,559 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cris-billing-status-sapi'
2023-05-10 14:23:11,792 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cris-customer-proxy'
2023-05-10 14:23:12,016 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cris-ods-datasync-control-eapi'
2023-05-10 14:23:12,230 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cris-ods-datasync-eapi'
2023-05-10 14:23:12,440 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cris-usagemetrics-sapi'
2023-05-10 14:23:12,660 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:css-account-sapi'
2023-05-10 14:23:12,853 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:css-bills-app'
2023-05-10 14:23:13,067 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:css-customers-sapi'
2023-05-10 14:23:13,297 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:css-payment-sapi'
2023-05-10 14:23:13,525 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:css-premiseassets-sapi'
2023-05-10 14:23:13,742 | sonar-tools | INFO    | MainThread      | Getting measures for project '20fb66fc-3fbd-4ed8-971b-d68fd6899d99:css-serviceorders-sapi'
2023-05-10 14:23:13,942 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:css-usagemetrics-sapi'
2023-05-10 14:23:14,153 | sonar-tools | INFO    | MainThread      | Getting measures for project '20fb66fc-3fbd-4ed8-971b-d68fd6899d99:css-workorders-sapi'
2023-05-10 14:23:14,393 | sonar-tools | INFO    | MainThread      | Getting measures for project 'CURATED_Data_Pipeline'
2023-05-10 14:23:14,630 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:cust-account-cris-sapi'
2023-05-10 14:23:14,830 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:cust-account-css-sapi'
2023-05-10 14:23:15,080 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cust-account-css-sapi'
2023-05-10 14:23:15,300 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:cust-account-ods-sapi'
2023-05-10 14:23:15,501 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cust-account-ods-sapi'
2023-05-10 14:23:15,795 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:va-cust-account-ods-sapi'
2023-05-10 14:23:16,100 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:cust-acct-mgmt-papi'
2023-05-10 14:23:16,313 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:cust-acct-mgmt-papi'
2023-05-10 14:23:16,534 | sonar-tools | INFO    | MainThread      | Getting measures for project '93bea448-1195-4081-8f7f-e21a7de64982:cust-acct-mgmt-papi'
