# Project Key:1,Project Name:2,Branch:3,Last Analysis:4,bugs:5,vulnerabilities:6,code_smells:7,security_hotspots:8,reliability_rating:9,security_rating:10,sqale_rating:11,security_review_rating:12,sqale_debt_ratio:13,sqale_index:14,coverage:15,duplicated_lines_density:16,security_hotspots_reviewed:17,new_bugs:18,new_vulnerabilities:19,new_code_smells:20,new_security_hotspots:21,new_reliability_rating:22,new_security_rating:23,new_maintainability_rating:24,new_security_review_rating:25,new_sqale_debt_ratio:26,new_coverage:27,new_duplicated_lines_density:28,new_security_hotspots_reviewed:29,ncloc:30,URL:31
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-salesforce-proxy,gbe-salesforce-proxy,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-salesforce-proxy&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-salesforce-proxy-oauth,gbe-salesforce-proxy-oauth,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-salesforce-proxy-oauth&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-sf-customers-eapi,gbe-sf-customers-eapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-sf-customers-eapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-sf-serviceorders-eapi,gbe-sf-serviceorders-eapi,develop,4/28/2023,28,4,118,3,4,4,1,5,0.60%,1110,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,5846,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-sf-serviceorders-eapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-sf-serviceorders-eapi,gbe-sf-serviceorders-eapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gbe-sf-serviceorders-eapi&branch=master
GDA_Network_Data_Pipeline,GDA_Network_Data_Pipeline,master,12/14/2022,0,0,0,0,1,1,1,1,0.00%,0,0.00%,0.00%,,,,,,,,,,,,,,2,https://sonarqube-us.nationalgrid.com/dashboard?id=GDA_Network_Data_Pipeline&branch=master
GDAN_Data_Pipeline,GDAN_Data_Pipeline,master,5/22/2023,0,0,1,0,1,1,1,1,0.80%,5,0.00%,0.00%,,0,0,0,0,1,1,1,1,0.00%,,0.00%,,20,https://sonarqube-us.nationalgrid.com/dashboard?id=GDAN_Data_Pipeline&branch=master
GDOPS_POC_Data_Pipeline,GDOPS_POC_Data_Pipeline,master,5/8/2023,0,0,0,0,1,1,1,1,0.00%,0,0.00%,0.00%,,0,0,0,0,1,1,1,1,0.00%,,0.00%,,3,https://sonarqube-us.nationalgrid.com/dashboard?id=GDOPS_POC_Data_Pipeline&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gf-accounts-eapi,gf-accounts-eapi,develop,4/28/2023,15,5,73,4,3,4,1,5,0.80%,810,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,3598,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gf-accounts-eapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:gf-accounts-eapi,gf-accounts-eapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gf-accounts-eapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gf-nbi-workorders-eapi,gf-nbi-workorders-eapi,develop,4/28/2023,34,17,509,4,3,4,1,5,1.50%,2628,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,5910,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gf-nbi-workorders-eapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:gf-nbi-workorders-eapi,gf-nbi-workorders-eapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gf-nbi-workorders-eapi&branch=master
20fb66fc-3fbd-4ed8-971b-d68fd6899d99:gf-workorders-eapi,gf-workorders-eapi,master,4/28/2023,15,27,345,2,3,5,1,5,2.00%,2672,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,4493,https://sonarqube-us.nationalgrid.com/dashboard?id=20fb66fc-3fbd-4ed8-971b-d68fd6899d99:gf-workorders-eapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gf-workorders-eapi,gf-workorders-eapi,develop,5/24/2023,31,24,341,5,3,4,1,5,1.80%,2451,,0.00%,0,0,0,4,1,1,1,1,5,0.00%,,0.00%,0,4511,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gf-workorders-eapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:gf-workorders-eapi,gf-workorders-eapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gf-workorders-eapi&branch=master
0b71ec1d-a9ef-423b-a599-66c396fc16ba:gf-workorders-eapi,gf-workorders-eapi,master,5/24/2023,31,24,341,5,3,4,1,5,1.80%,2451,,0.00%,0,,,,,,,,,,,,,4511,https://sonarqube-us.nationalgrid.com/dashboard?id=0b71ec1d-a9ef-423b-a599-66c396fc16ba:gf-workorders-eapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gf-workorders-sapi,gf-workorders-sapi,develop,4/28/2023,36,15,125,4,3,4,1,5,0.70%,1089,,0.00%,0,0,0,0,0,1,1,1,1,0.00%,,0.00%,,5098,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gf-workorders-sapi&branch=develop
56c14f77-79ed-4de3-8313-d542ea9f232b:gf-workorders-sapi,gf-workorders-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gf-workorders-sapi&branch=master
com.mycompany:gis-network-validate-sapi,gis-network-validate-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=com.mycompany:gis-network-validate-sapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:gis-premiseassets-sapi,gis-premiseassets-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:gis-premiseassets-sapi&branch=master
56c14f77-79ed-4de3-8313-d542ea9f232b:git-files-cascade-app,git-files-cascade-app,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=56c14f77-79ed-4de3-8313-d542ea9f232b:git-files-cascade-app&branch=master
com.mycompany:goanywhere-ami-sapi,goanywhere-ami-sapi,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=com.mycompany:goanywhere-ami-sapi&branch=master
GRID,GRID,main,6/29/2022,0,0,0,0,1,1,1,1,0.00%,0,0.00%,0.00%,,0,0,0,0,1,1,1,1,0.00%,,,,151,https://sonarqube-us.nationalgrid.com/dashboard?id=GRID&branch=main
GRID,GRID,master,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sonarqube-us.nationalgrid.com/dashboard?id=GRID&branch=master
